"ISARIC_4C_Mortality","ISARIC_4C_Deterioration","ISARIC_4C_Mortality_Prob"
5,48.3693489447975,7.47422680412371
2,23.9106252122776,0.806451612903226
4,15.6191660216372,4.80519480519481
8,21.6373143556783,14.4486692015209
3,28.0480219543764,2.31124807395994
5,44.4455509451489,7.47422680412371
8,28.4639810254321,14.4486692015209
4,42.3652682742224,4.80519480519481
6,47.297314070188,7.78378378378378
6,26.7143992606559,7.78378378378378
7,38.6784411304005,11.6953762466002
13,67.2774806378987,40.1318888365521
10,45.2823156095938,22.8999464954521
7,19.5306651652008,11.6953762466002
6,32.5355450346282,7.78378378378378
12,29.4490941918827,32.9079307201458
8,22.8580000852373,14.4486692015209
12,62.8311460316639,32.9079307201458
10,65.8136356894329,22.8999464954521
8,44.5494539404616,14.4486692015209
6,14.6742615557033,7.78378378378378
10,82.5505475217918,22.8999464954521
8,81.0221790608777,14.4486692015209
9,22.0200667520224,19.1646191646192
11,41.467739802553,26.9156159068865
9,65.1564560277429,19.1646191646192
4,51.9006142913698,4.80519480519481
2,23.7552070073922,0.806451612903226
9,44.7426234278417,19.1646191646192
13,71.6071911470358,40.1318888365521
5,35.8237065394025,7.47422680412371
8,72.9663169459747,14.4486692015209
6,15.3593159777012,7.78378378378378
10,24.7337547751186,22.8999464954521
11,32.1635807374977,26.9156159068865
13,55.8501190422625,40.1318888365521
3,16.1401078015772,2.31124807395994
7,44.1067248855877,11.6953762466002
9,25.7211623227155,19.1646191646192
10,44.8606481962244,22.8999464954521
11,57.3257812957246,26.9156159068865
7,23.6348920846914,11.6953762466002
5,16.2719007873341,7.47422680412371
7,18.443653163253,11.6953762466002
0,9.46392876118096,NA
5,20.8624311739933,7.47422680412371
5,13.6175926551785,7.47422680412371
4,18.2553783573038,4.80519480519481
5,29.5410385576493,7.47422680412371
5,24.0599853125097,7.47422680412371
4,16.0485688342808,4.80519480519481
5,12.8056409022802,7.47422680412371
12,52.634686057358,32.9079307201458
14,55.0540042989398,44.5749440715884
15,46.7548845348075,51.6393442622951
13,49.4454074860228,40.1318888365521
11,52.0942891902384,26.9156159068865
7,49.1826872642146,11.6953762466002
5,33.0315879625377,7.47422680412371
17,91.0190610324037,66.1224489795918
5,35.2785652758844,7.47422680412371
15,57.2977174746505,51.6393442622951
17,86.3176303760119,66.1224489795918
16,65.2240382522469,59.1031390134529
10,44.9531527876136,22.8999464954521
12,85.3948916577703,32.9079307201458
9,29.0793913580069,19.1646191646192
14,78.4762269278864,44.5749440715884
12,53.2514243656731,32.9079307201458
5,31.5036085365584,7.47422680412371
10,43.6366107980205,22.8999464954521
10,50.7346355153261,22.8999464954521
10,20.4201406832403,22.8999464954521
10,36.361143038561,22.8999464954521
19,97.524358168051,77.3913043478261
10,47.5896017968203,22.8999464954521
12,87.6942487425714,32.9079307201458
12,67.5604078187841,32.9079307201458
14,65.5614240509584,44.5749440715884
10,36.5313960158547,22.8999464954521
7,36.5821458149518,11.6953762466002
3,15.2773378198795,2.31124807395994
6,29.2432073272699,7.78378378378378
10,13.2909909992869,22.8999464954521
8,17.6290000323989,14.4486692015209
13,68.2569465132181,40.1318888365521
14,58.9261039724728,44.5749440715884
13,77.3836726074951,40.1318888365521
2,10.0914167216172,0.806451612903226
5,12.6333845066389,7.47422680412371
7,17.287083066059,11.6953762466002
14,84.1156794085529,44.5749440715884
12,32.0857449761928,32.9079307201458
10,39.2626762498896,22.8999464954521
12,65.3687600879763,32.9079307201458
13,57.3512301145147,40.1318888365521
9,68.4567116569655,19.1646191646192
5,17.4727686418008,7.47422680412371
9,22.0359148439407,19.1646191646192
6,51.0800884127934,7.78378378378378
4,25.7540064978395,4.80519480519481
3,16.1178797144293,2.31124807395994
8,36.3501794761348,14.4486692015209
6,43.5222340603622,7.78378378378378
10,46.2645404297682,22.8999464954521
4,16.6211717189016,4.80519480519481
10,47.6817749939561,22.8999464954521
0,12.9813003271546,NA
10,44.997135959744,22.8999464954521
6,32.7518097077248,7.78378378378378
4,14.0551770685806,4.80519480519481
3,13.3839156162635,2.31124807395994
12,58.3451622531862,32.9079307201458
3,20.4645461246214,2.31124807395994
7,68.5953125132215,11.6953762466002
8,46.2483125683162,14.4486692015209
14,73.3508213246909,44.5749440715884
13,42.5315749779972,40.1318888365521
9,71.2676953429093,19.1646191646192
18,95.7383869332838,75.8099352051836
